|Tweet|Classificação
0|pressionem queremos a reforma da previdencia de paulo guedes sem desidratacao queremos previdencia de 1 trilhao |Neutro
1| eptv1 parabens pela imparcialidade  mostrando o protesto contra a reforma da previdencia  porem nao mostrou nada sobre as manifestacoes de domingo passado contra o stf e a favor da lava jato  eptv puxadinho da globo  midia lixo   globoesgotodatv|Neutro
2| dep paulinho tu e um canalha  indo contra a reforma da previdencia so para nao releger bolsonaro  o povo que se foda |Neutro
3|em mais um golpe do centrao  aquela grande frente contra o brasil  um projeto de reforma da previdencia alternativo e apresentado  rodrigo maia subscreve a sacanagem |Neutro
4|eles acham que o objetivo e so lula livre e cagam pro objetivo da educacao  tanto que tive que ir escondida dos meus pais pra eles n encherem meu saco  pq eu tava la pela educacao e nao pelo lula  igual ngc da reforma da previdencia  que enfiaram la tbm sendo que era pra ser so |Neutro
5|eu tambem apoio a reforma da previdencia pelo futuro de nossos filhos   euapoionovaprevidencia|Neutro
6|vote a mp 870  acelere a reforma da previdencia do paulo guedes  e vote o pacote anticrime do moro  nao seja um irresponsavel querendo protagonismo  enquanto o brasil esta parado  por sua incompetencia e ma intencao  allan frutuozo   deusbrasilbolsonaro  carlosbolsonaro|Neutro
7|gostei bastante  por um lado  ponderada  sensata  sincera e respeitosa  por outro  extremamente preocupante do ponto de vista da  falta de  articulacao do planalto com o congresso  evidenciou que o governo esta mt longe dos votos necessarios pra aprovar a reforma da previdencia |Neutro
8| novaprevidencia  reformadaprevidencia nova previdencia aprovadaaaaaaaa a vitoria e do brasil viva o nosso presidente  jairbolsonaro|Neutro
9| senadofederal o atraso do brasil   bolsonaroestamoscontigo senado segura reforma da previdencia e trava economia do pais |Neutro
10|a escandalosa compra de votos para aprovar a reforma da previdencia |Neutro
11|saiba como a reforma da previdencia de bolsonaro aumentara a pobreza  via  redebrasilatual|Neutro
12|a comissao que ira discutir a reforma da previdencia na camara dos deputados foi instalada no ultimo dia 25  a federacao nacional dos policiais federais  fenapef  e a uniao dos policiais do brasil  upb  agora    |Neutro
13|reforma da previdencia  mudancas aprovadas pelo senado podem atrasar aprovacao da pec |Neutro
14|e o que se desenha  sem uma atuacao minimamente coordenada do executivo  porem  a reforma mais importante e mesmo a tributaria  enquanto a reforma da previdencia e a mais urgente |Neutro
15|a entrevista da economista  lauraabcarvalho no  umbrasil foi marcada por temas como a crise - e a lenta recuperacao - economica  a desigualdade no pais e a reforma da previdencia  essa charge do  benett  ilustra a conversa  confira  |Neutro
16|e o fim da picada  quero ver se nao sair a reforma da previdencia ainda neste 1degsemestre e o presidente bolsonaro decretar o artigo 142 seguido do ai 5 como fica a cara do nhonho |Neutro
17|senado inicia votacao da reforma da previdencia em segundo turno  via  diarioaco|Neutro
18|"o presidente do democratas  dem   acm neto  disse hoje  4  que o pais precisa ""o quanto antes"" aprovar a reforma da previdencia e que o partido pode integrar a base do governo no     html"|Neutro
19|  a pec do teto iria gerar investimentos e empregos    a reforma trabalhista iria gerar milhoes de empregos    a reforma da previdencia vai gerar bilhoes em investimentos e gerar empregos  ciencia ou fe |Neutro
20|entao toma    militar contra a reforma da previdencia  um pouquinho de sensatez   php story fbid 2332741140123714 amp id 100001635510764|Neutro
21|reforma desumana  parabens ao combativo deputado molon por toda sua luta e engajamento  e por denunciar que a deforma da previdencia acaba de ser aprovada na comissao especial  covardia e derrota para o povo brasileiro    notif id 1562303824582398 amp notif t live video|Neutro
22|dimenstein  tb nao gosto do seu trabalho de martelo em cima do governo  mas essa sua postura de defender a reforma da previdencia me da 0 01  de esperanca em que o sr  e um dos poucos jornalistas que nao esta pensando so no seu umbigo |Neutro
23|viviam babando estes caras  tudo pelo antipetismo  agora estao agoniados  mas o noblat  com os da rede globo  todos estao comprometidos com a reforma da previdencia que acaba com a aposentadoria dos trabalhadores |Neutro
24|reuniao com lideres na terca feira  na residencia oficial da camara  apresentou o cardapio da distribuicao de cargos  essa e a  nova politica  que bolsonaro usa para conseguir aprovar a reforma da previdencia  ja que e incapaz de dialogar  |Neutro
25|se voce  ggreenwald  theinterceptbr perguntar ao  jornaldaglobo o que diz art 24  art 142 lcp ndeg101 2000 em art 195 cb 1988 e permitido a pec ndeg06 2019 da  reformadaprevidencia  nao respondem 11 2129 5000  mas e ilegal e inconstitucional  so mentira  escamotiam informes em favor  |Neutro
26|eu avisei     as lagrimas  familiares de militares gritam  bolsonaro traidor  por reforma da previdencia |Neutro
27|greve contra reforma da previdencia |Neutro
28|eu nao acredito que vao comecar a votar essa reforma da previdencia lixo|Neutro
29|nao a mais esse imposto pilantracos  nao fazem nada pelo povo eo trabalhador humilde e velhinhos humildes deste pais  nao a reforma da previdencia social mau feita por ladroes piratas safados corruptos pilantras de brasilia|Neutro
